I,Q
-2.93260434918585,0.767086483507846
0.672889345609262,-0.928539701035589
-2.86626678308147,2.78363535146955
0.617238161937064,-2.95756630924766
-2.83920953069044,2.79427297758047
2.7076657092704,1.04177558211245
1.15292191636379,0.693225512129093
2.61958519837801,-3.0179941059626
-2.87789498627126,0.805994249288111
2.6512239470179,-1.02505814839426
1.15730984060886,0.733217524869713
0.642456112895184,-1.01312746749475
-2.94038922403623,-1.17116712469509
0.686845370046279,0.986464768144839
-0.819366642336552,2.85284802265731
-3.27622816234312,3.0887706100343
-1.00284443230163,-3.19729227579805
2.81536717742416,2.92475019838075
3.20208128224161,2.78684563059853
0.692268991715186,-1.08470214479799
-2.95846763342437,0.937181383184403
-1.1759683826489,3.01138435231646
-2.92691081178202,2.96051459493122
2.76925332167554,-1.13606032950978
0.942667406748322,-3.21708828566264
0.775067774278413,-1.09302617576717
1.04745308161736,2.85285605976078
0.843390842692229,0.937050408720401
2.93163080956261,-3.25372364665679
-3.22405434923284,-0.991764874860451
-3.09110873121295,0.932518458639913
0.845829295272517,-1.09738823200068
-3.1090831830817,0.94071726830127
-3.21798614710389,-2.99716141553467
2.93786308658681,0.775470732938735
-1.09561589535364,0.986812139080255
-3.13946066861816,0.923182956436612
2.88865352267781,-3.14665091782346
2.83388977154606,-3.25216417602244
-1.15225353217666,-3.07488455515541
-1.22083188742166,-3.1682162155092
-1.14033531572669,-3.08083870393778
0.929862943803476,2.85287828355433
1.0520450295661,2.94135168707263
-1.25126739637755,-3.16513206247676
-3.00812618491255,3.03655515384238
0.77392984005017,-3.20775748458487
-3.08325994806042,-1.0123243454085
0.840815305173854,0.843993977151845
2.9536308546474,-3.15151501026999
2.84836762776431,0.819801566405643
0.963865833585027,-1.0994060878894
2.85835867449823,0.818380348392517
0.933480267674722,-3.12464906360186
-1.14292439070647,2.90417981180928
1.00862046962311,0.907124945863452
2.848957471368,0.825408550112842
2.95744101100816,-3.17444389244555
0.769542425882601,-3.16735771161317
-2.99234114169767,2.99891577795993
2.86872020049469,0.848535270614061
0.949487376306332,-1.14312386918298
-3.20623289381367,0.99184650949855
0.944724114991925,-1.17419948109222
-1.24398358694925,-3.0833955290349
-3.06544252764807,0.931981820273331
2.87994635796854,0.898588937566619
-1.1261710702439,-3.18370797567707
-3.2106252642689,-0.985230181064675
-3.04233179911525,2.91931215120816
2.82983736403145,-3.11855173000161
0.914277383048997,-1.21642895064443
-1.1437768931732,1.00283357942912
3.01619096624605,2.78590973169144
0.93792934987234,3.00576102285399
-1.13114298126159,-1.20539432711752
2.85717769174922,-3.09075473240228
0.893106077308882,-1.23922358098902
